revision;consecutiveAndSpacingConflicts
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_adc3dc0_fb53afc/rev_adc3dc0-fb53afc.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_f3e0323_b9245a9/rev_f3e0323-b9245a9.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_bc6d9c1_6fe1416/rev_bc6d9c1-6fe1416.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_1baee8e_a9452bd/rev_1baee8e-a9452bd.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_9ff4a95_fae6eaf/rev_9ff4a95-fae6eaf.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_271729e_188944b/rev_271729e-188944b.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_73c5869_f6b036f/rev_73c5869-f6b036f.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b9ce38c_ac0be37/rev_b9ce38c-ac0be37.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_df4a3bf_d95aa9f/rev_df4a3bf-d95aa9f.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_ecd41ca_6821764/rev_ecd41ca-6821764.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_2c5824d_7a8e420/rev_2c5824d-7a8e420.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_0d2d093_0810808/rev_0d2d093-0810808.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_a1a3022_1b260af/rev_a1a3022-1b260af.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_5259f7c_78c1d11/rev_5259f7c-78c1d11.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_17e8b7f_23ca0d2/rev_17e8b7f-23ca0d2.revisions;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_457f0a4_3701f74/rev_457f0a4-3701f74.revisions;0
