revision;referencesToRenamedMethods
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_4d0feff_b5aee20/rev_4d0feff-b5aee20;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_ce9b365_4e45443/rev_ce9b365-4e45443;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_6380560_d55f719/rev_6380560-d55f719;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_23d7cdd_da74323/rev_23d7cdd-da74323;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_edb0fd3_f98be6f/rev_edb0fd3-f98be6f;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_006829e_09305a0/rev_006829e-09305a0;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_ef6e43e_1ad3d22/rev_ef6e43e-1ad3d22;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_865b951_0732004/rev_865b951-0732004;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_5cf7583_5907534/rev_5cf7583-5907534;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_14908f8_80bae21/rev_14908f8-80bae21;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_d0df1ed_7a934bd/rev_d0df1ed-7a934bd;0
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_e2b95f9_0e74f5d/rev_e2b95f9-0e74f5d;0
