revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/experiment_results/projects/async-http-client/revisions/rev_8a125e0_5d41e01/rev_8a125e0-5d41e01.revisions;381;274;0;274;2;107;106;1;0;0;2;0;21
/experiment_results/projects/async-http-client/revisions/rev_7705931_c869ef4/rev_7705931-c869ef4.revisions;381;274;0;274;2;107;107;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9436ab5_db70fe8/rev_9436ab5-db70fe8.revisions;383;276;0;276;2;107;107;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9c15644_90d2593/rev_9c15644-90d2593.revisions;390;276;0;276;2;114;113;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_772dafc_257398b/rev_772dafc-257398b.revisions;390;276;0;276;2;114;114;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_cf2fc23_b203798/rev_cf2fc23-b203798.revisions;395;276;0;276;2;119;118;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_21c9d57_7f451c4/rev_21c9d57-7f451c4.revisions;395;276;0;276;2;119;119;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_b9bd666_4394481/rev_b9bd666-4394481.revisions;430;277;0;277;2;153;153;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_b4fc4c8_adf6555/rev_b4fc4c8-adf6555.revisions;430;277;0;277;2;153;153;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_e419eed_b3b567a/rev_e419eed-b3b567a.revisions;429;278;0;278;2;151;148;1;2;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ddc7b4c_1206399/rev_ddc7b4c-1206399.revisions;427;278;0;278;2;149;148;1;0;0;0;0;21
