revision;file;errors
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_321562a_6aaa38b/rev_321562a-6aaa38b.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_321562a_6aaa38b/rev_321562a-6aaa38b/src/test/java/com/fasterxml/jackson/databind/introspect/TestNamingStrategyStd.java;3
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_bf2b2b0_e59a1ae/rev_bf2b2b0-e59a1ae.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_bf2b2b0_e59a1ae/rev_bf2b2b0-e59a1ae/src/test/java/com/fasterxml/jackson/databind/ser/TestJsonSerializeAs.java;1
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_f68be3c_cbad874/rev_f68be3c-cbad874.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_f68be3c_cbad874/rev_f68be3c-cbad874/src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java;1
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_847fd82_ea30c7b/rev_847fd82-ea30c7b.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_847fd82_ea30c7b/rev_847fd82-ea30c7b/src/test/java/com/fasterxml/jackson/databind/filter/JsonIncludeTest.java;3
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_7eaf599_407f10e/rev_7eaf599-407f10e.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_7eaf599_407f10e/rev_7eaf599-407f10e/src/main/java/com/fasterxml/jackson/databind/deser/std/ReferenceTypeDeserializer.java;1
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_93a0b9b_32001a6/rev_93a0b9b-32001a6.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_93a0b9b_32001a6/rev_93a0b9b-32001a6/src/main/java/com/fasterxml/jackson/databind/introspect/AnnotatedClass.java;1
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_6ec6e3e_a43d23d/rev_6ec6e3e-a43d23d.revisions;/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_6ec6e3e_a43d23d/rev_6ec6e3e-a43d23d/src/main/java/com/fasterxml/jackson/databind/node/MissingNode.java;1
