revision;possibleRenamings;renamingsDueToIdentation
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_cbfafc6_bc4153e/rev_cbfafc6-bc4153e.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_b2a9ca7_cbbfbd3/rev_b2a9ca7-cbbfbd3.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_2337bfa_f0929ac/rev_2337bfa-f0929ac.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_c9215cd_c24e1ba/rev_c9215cd-c24e1ba.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_6d4aa6c_3a9a637/rev_6d4aa6c-3a9a637.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_137aa17_5b27e8a/rev_137aa17-5b27e8a.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_db42b33_9412b74/rev_db42b33-9412b74.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_737ad05_936b6df/rev_737ad05-936b6df.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_7c71bad_f86f4a4/rev_7c71bad-f86f4a4.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_6a4ce69_1755442/rev_6a4ce69-1755442.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_ce7398c_2b1e3e2/rev_ce7398c-2b1e3e2.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_fcb529e_dc65cc0/rev_fcb529e-dc65cc0.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_2b4086a_3e43d92/rev_2b4086a-3e43d92.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_f0650ba_13c8421/rev_f0650ba-13c8421.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_64ab31b_c65b888/rev_64ab31b-c65b888.revisions;0;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_cab48ae_e689bd8/rev_cab48ae-e689bd8.revisions;0;0
