revision;file;nodeIdentifier1;nodeIdentifier2
/home/ramdisk/experiment6/projects/databus/revisions/rev_bf4c533_0afcc46/rev_bf4c533-0afcc46.revisions;/databus-client/databus-client-http/src/test/java/com/linkedin/databus/client/TestChunkedBodyReadableByteChannel.java;@BeforeClass  public void setupClass()  ;@BeforeClass  public void setupClass()  
/home/ramdisk/experiment6/projects/databus/revisions/rev_bf4c533_0afcc46/rev_bf4c533-0afcc46.revisions;/databus-client/databus-client-http/src/test/java/com/linkedin/databus/client/TestChunkedBodyReadableByteChannel.java;@Test  /** Block the writer because of running out of buffer space and check it times out eventually */  public void testUnblockWriteOnClose()  ;@Test  /** Block the writer because of running out of buffer space and check it times out eventually */  public void testUnblockWriteOnClose()  
/home/ramdisk/experiment6/projects/databus/revisions/rev_bf4c533_0afcc46/rev_bf4c533-0afcc46.revisions;/databus-client/databus-client-http/src/test/java/com/linkedin/databus/client/TestChunkedBodyReadableByteChannel.java;@Test  /** make sure the reader does not hang if the channel is closed while it is reading. */  public void testUnblockReadOnPrematureClose() throws IOException  ;@Test  /** make sure the reader does not hang if the channel is closed while it is reading. */  public void testUnblockReadOnPrematureClose() throws IOException  
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-client/databus-client-http/src/main/java/com/linkedin/databus/client/generic/SimpleFileLoggingConsumer.java;protected DatabusFileLoggingConsumer createTypedConsumer(String valueDumpFile, String eventDumpFile)  throws IOException  ;protected DatabusFileLoggingConsumer createTypedConsumer(String valueDumpFile, String eventDumpFile)  throws IOException  
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-core/databus-core-impl/src/test/java/com/linkedin/databus/core/TestCheckpoint.java;@Test  public void testTimestampBasedCheckpoint() throws Exception  ;@Test  public void testTimestampBasedCheckpoint() throws Exception  
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-client/databus-client-http/src/main/java/com/linkedin/databus/client/DatabusHttpClientImpl.java;protected final LoggingConsumer _loggingConsumer;protected final LoggingConsumer _loggingConsumer
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-core/databus-core-impl/src/main/java/com/linkedin/databus/core/util/StringUtils.java;private static final Pattern ORA_JDBC_URI_PATTERN ;private static final Pattern ORA_JDBC_URI_PATTERN 
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-core/databus-core-impl/src/main/java/com/linkedin/databus/core/util/StringUtils.java;private static final Pattern MYSQL_JDBC_PATTERN1 ;private static final Pattern MYSQL_JDBC_PATTERN1 
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-core/databus-core-impl/src/main/java/com/linkedin/databus/core/util/StringUtils.java;private static final Pattern MYSQL_JDBC_PATTERN2 ;private static final Pattern MYSQL_JDBC_PATTERN2 
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-core/databus-core-impl/src/main/java/com/linkedin/databus/core/util/StringUtils.java;public static String sanitizeDbUri(String uri)  ;public static String sanitizeDbUri(String uri)  
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-client/databus-client-http/src/test/java/com/linkedin/databus/client/TestGenericDispatcher.java;@Test    public void testBootstrapPartialWindowScnOrdering() throws Exception    ;@Test    public void testBootstrapPartialWindowScnOrdering() throws Exception    
/home/ramdisk/experiment6/projects/databus/revisions/rev_378fe05_120c5f8/rev_378fe05-120c5f8.revisions;/databus-client/databus-client-http/src/test/java/com/linkedin/databus/client/TestGenericDispatcher.java; // TODO Change this class to behave like bootstrap dispatcher or relay dispatcher depending on what we are // testing. If bootstrap dispatcher, then we need to override processSysEvents to construct checkpoint when // a checkpoint event is received (or better, initialize checkpoint in ctor), and then override createCheckpoint // method to call onEvent on the saved checkpoint.  // TODO Change this class to behave like bootstrap dispatcher or relay dispatcher depending on what we are // testing. If bootstrap dispatcher, then we need to override processSysEvents to construct checkpoint when // a checkpoint event is received (or better, initialize checkpoint in ctor), and then override createCheckpoint // method to call onEvent on the saved checkpoint.class TestDispatcher <C> extends GenericDispatcher<C> ; // TODO Change this class to behave like bootstrap dispatcher or relay dispatcher depending on what we are // testing. If bootstrap dispatcher, then we need to override processSysEvents to construct checkpoint when // a checkpoint event is received (or better, initialize checkpoint in ctor), and then override createCheckpoint // method to call onEvent on the saved checkpoint.  // TODO Change this class to behave like bootstrap dispatcher or relay dispatcher depending on what we are // testing. If bootstrap dispatcher, then we need to override processSysEvents to construct checkpoint when // a checkpoint event is received (or better, initialize checkpoint in ctor), and then override createCheckpoint // method to call onEvent on the saved checkpoint.class TestDispatcher <C> extends GenericDispatcher<C> 
