revision;file;methodSignature;references
/experiment/projects/dropwizard-metrics/revisions/rev_542d40d_6be9a7c/rev_542d40d-6be9a7c;/metrics-ganglia/src/main/java/com/yammer/metrics/reporting/GangliaReporter;sanitizeName(String);;0
/experiment/projects/dropwizard-metrics/revisions/rev_3bb71a7_2ca845b/rev_3bb71a7-2ca845b;/metrics-httpclient/src/main/java/com/yammer/metrics/httpclient/InstrumentedHttpClient;createClientRequestDirector(HttpRequestExecutor,ClientConnectionManager,ConnectionReuseStrategy,ConnectionKeepAliveStrategy,HttpRoutePlanner,HttpProcessor,HttpRequestRetryHandler,RedirectStrategy,AuthenticationStrategy,AuthenticationStrategy,UserTokenHandler,HttpParams);@Override    protected RequestDirector createClientRequestDirector(HttpRequestExecutor requestExec,                                                          ClientConnectionManager conman,                                                          ConnectionReuseStrategy reustrat,                                                          ConnectionKeepAliveStrategy kastrat,                                                          HttpRoutePlanner rouplan,                                                          HttpProcessor httpProcessor,                                                          HttpRequestRetryHandler retryHandler,                                                          RedirectStrategy redirectStrategy,                                                          AuthenticationStrategy targetAuthStrategy,                                                          AuthenticationStrategy proxyAuthStrategy,                                                          UserTokenHandler userTokenHandler,                                                          HttpParams params) {;0
/experiment/projects/dropwizard-metrics/revisions/rev_3bb71a7_2ca845b/rev_3bb71a7-2ca845b;/metrics-httpclient/src/main/java/com/yammer/metrics/httpclient/InstrumentedRequestDirector;timer(HttpRequest);private Timer timer(HttpRequest request) {;0
